seq_beneficiario;dat_inicio_direito;des_categoria;desc_entidade;val_cargo;val_redutor_teto;nom_municipio;sgl_uf;dat_requerimento;dat_doc_completa;dat_deferimento;mes_deferimento;dias_uteis_concessao
189065;2024-11-24;CONJUGE;SECRETARIA DA EDUCACAO;996,41;1518,0;NOVA SERRANA;MG;2024-12-27;2025-01-07;2025-01-08;Janeiro/2025;2
189067;2024-10-05;CONJUGE;SECRETARIA DA EDUCACAO;2649,64;2649,64;SANTO ANTONIO DO RETIRO;MG;2024-12-30;2025-01-07;2025-01-08;Janeiro/2025;2
189030;2025-01-08;FILHO(A) LC 64/2002;SECRETARIA DA EDUCACAO;2551,49;3036,0;SOBRALIA;MG;2024-12-18;2024-12-27;2025-01-08;Janeiro/2025;9
189070;2024-12-03;CONJUGE;SECRETARIA DA EDUCACAO;1256,82;1518,0;RIACHO DOS MACHADOS;MG;2025-01-06;2025-01-08;2025-01-08;Janeiro/2025;1
189007;2024-12-02;CONJUGE;SECRETARIA DA EDUCACAO;2649,34;2649,34;TRES CORACOES;MG;2024-12-02;2025-01-08;2025-01-08;Janeiro/2025;1
189084;2022-11-17;COMPANHEIRO(A);TRIBUNAL DE JUSTICA DO ESTADO DE MINAS GERAIS;10979,42;10979,42;UBERLANDIA;MG;2023-02-01;2025-01-08;2025-01-09;Janeiro/2025;2
189068;2025-01-09;CONJUGE;TRIBUNAL DE JUSTICA DO ESTADO DE MINAS GERAIS;4999,91;4999,91;PIRANGA;MG;2024-12-23;2024-12-30;2025-01-09;Janeiro/2025;9
189066;2024-11-04;COMPANHEIRO(A);SECRETARIA DA EDUCACAO;2445,41;2445,41;TEOFILO OTONI;MG;2024-12-16;2025-01-06;2025-01-09;Janeiro/2025;4
186778;2024-04-11;FILHO(A) LC 64/2002;SECRETARIA DE EDUCACAO;3669,38;3886,55;GUAICUI;MG;2024-04-11;;2025-01-09;Janeiro/2025;196
186779;2024-04-11;CONJUGE;SECRETARIA DE EDUCACAO;3669,38;3886,55;VARZEA DA PALMA;MG;2024-04-11;;2025-01-09;Janeiro/2025;196
189074;2024-12-09;CONJUGE;DEPARTAMENTO DE EDIFICACOES E ESTRADAS DE RODAGEM;1870,4;1870,4;PARA DE MINAS;MG;2025-01-06;2025-01-08;2025-01-09;Janeiro/2025;2
189077;2024-12-13;CONJUGE;SECRETARIA DA EDUCACAO;5404,5;5404,5;JUIZ DE FORA;MG;2025-01-06;2025-01-09;2025-01-09;Janeiro/2025;1
189054;2024-11-04;FILHO(A) LC 64/2002;FHEMIG FUND HOSPITALAR EST MG;2215,68;2215,68;TOCANTINS;MG;2024-12-21;2025-01-02;2025-01-09;Janeiro/2025;6
189076;2024-10-20;COMPANHEIRO(A);TRIBUNAL DE CONTAS DO ESTADO DE MINAS GERAIS;22994,12;22994,12;BELO HORIZONTE;MG;2024-11-25;2025-01-08;2025-01-09;Janeiro/2025;2
189092;2024-10-12;CONJUGE;SECRETARIA DA EDUCACAO;1237,77;1518,0;JANAUBA;MG;2024-01-06;2025-01-09;2025-01-10;Janeiro/2025;2
189086;2024-11-09;COMPANHEIRO(A);DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS - DER-MG;1793,53;1793,53;MARTINHO CAMPOS;MG;2024-11-29;2025-01-08;2025-01-10;Janeiro/2025;3
189085;2022-07-18;COMPANHEIRO(A);SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO;3814,24;3814,24;ARCOS;MG;2022-07-18;2025-01-08;2025-01-10;Janeiro/2025;3
